SCHED_DT,SCHED_HR,CUST_PART_NO,WIP_QTY,QTY
21-Sep-17,8,39101-03201                   ,24,13
21-Sep-17,8,39102-04457                   ,0,0
21-Sep-17,8,39102-04462                   ,0,0
21-Sep-17,8,39102-04466                   ,0,0
21-Sep-17,8,39102-04536                   ,0,0
21-Sep-17,8,39103-03201                   ,53,205
21-Sep-17,8,39103-03203                   ,0,0
21-Sep-17,8,39103-03205                   ,5,69
21-Sep-17,8,39103-03207                   ,16,47
21-Sep-17,8,39103-03208                   ,0,0
21-Sep-17,8,39103-03210                   ,0,0
21-Sep-17,8,39103-03211                   ,1,1
21-Sep-17,8,39103-03212                   ,0,0
21-Sep-17,8,39103-03214                   ,0,0
21-Sep-17,8,39103-03215                   ,10,5
21-Sep-17,8,39103-03216                   ,0,0
21-Sep-17,8,39103-03237                   ,41,108
21-Sep-17,8,39103-03243                   ,2,1
21-Sep-17,8,39103-03244                   ,0,0
21-Sep-17,8,39103-03247                   ,4,17
21-Sep-17,8,39103-03248                   ,0,0
21-Sep-17,8,39103-03250                   ,1,4
21-Sep-17,8,39103-03251                   ,0,0
21-Sep-17,8,39103-03252                   ,2,12
21-Sep-17,8,39103-03274                   ,0,0
22-Sep-17,8,39101-03201                   ,24,45
22-Sep-17,8,39102-04457                   ,0,0
22-Sep-17,8,39102-04462                   ,0,0
22-Sep-17,8,39102-04466                   ,0,0
22-Sep-17,8,39102-04536                   ,0,0
22-Sep-17,8,39103-03201                   ,53,222
22-Sep-17,8,39103-03203                   ,0,0
22-Sep-17,8,39103-03205                   ,5,137
22-Sep-17,8,39103-03207                   ,16,0
22-Sep-17,8,39103-03208                   ,0,13
22-Sep-17,8,39103-03210                   ,0,0
22-Sep-17,8,39103-03211                   ,1,8
22-Sep-17,8,39103-03212                   ,0,0
22-Sep-17,8,39103-03214                   ,0,1
22-Sep-17,8,39103-03215                   ,10,0
22-Sep-17,8,39103-03216                   ,0,0
22-Sep-17,8,39103-03237                   ,41,206
22-Sep-17,8,39103-03243                   ,2,0
22-Sep-17,8,39103-03244                   ,0,0
22-Sep-17,8,39103-03247                   ,4,0
22-Sep-17,8,39103-03248                   ,0,1
22-Sep-17,8,39103-03250                   ,1,0
22-Sep-17,8,39103-03251                   ,0,5
22-Sep-17,8,39103-03252                   ,2,0
22-Sep-17,8,39103-03274                   ,0,0
23-Sep-17,8,39101-03201                   ,24,50
23-Sep-17,8,39102-04457                   ,0,0
23-Sep-17,8,39102-04462                   ,0,0
23-Sep-17,8,39102-04466                   ,0,0
23-Sep-17,8,39102-04536                   ,0,0
23-Sep-17,8,39103-03201                   ,53,375
23-Sep-17,8,39103-03203                   ,0,0
23-Sep-17,8,39103-03205                   ,5,82
23-Sep-17,8,39103-03207                   ,16,13
23-Sep-17,8,39103-03208                   ,0,13
23-Sep-17,8,39103-03210                   ,0,32
23-Sep-17,8,39103-03211                   ,1,30
23-Sep-17,8,39103-03212                   ,0,30
23-Sep-17,8,39103-03214                   ,0,1
23-Sep-17,8,39103-03215                   ,10,0
23-Sep-17,8,39103-03216                   ,0,0
23-Sep-17,8,39103-03237                   ,41,102
23-Sep-17,8,39103-03243                   ,2,0
23-Sep-17,8,39103-03244                   ,0,0
23-Sep-17,8,39103-03247                   ,4,0
23-Sep-17,8,39103-03248                   ,0,23
23-Sep-17,8,39103-03250                   ,1,0
23-Sep-17,8,39103-03251                   ,0,0
23-Sep-17,8,39103-03252                   ,2,0
23-Sep-17,8,39103-03274                   ,0,0
