SCHED_DT,SCHED_HR,CUST_PART_NO,CLOSE_STK,WIP_QTY,QTY
3-Oct-17,0,39102-04472,172,45,0
3-Oct-17,2,39102-04472,,,0
3-Oct-17,4,39102-04472,,,3
3-Oct-17,6,39102-04472,,,0
3-Oct-17,8,39102-04472,,,10
3-Oct-17,10,39102-04472,,,0
3-Oct-17,12,39102-04472,,,23
3-Oct-17,14,39102-04472,,,0
3-Oct-17,16,39102-04472,,,6
3-Oct-17,18,39102-04472,,,4
3-Oct-17,20,39102-04472,,,3
3-Oct-17,22,39102-04472,,,2
4-Oct-17,0,39102-04472,172,45,10
4-Oct-17,2,39102-04472,,,3
4-Oct-17,4,39102-04472,,,3
4-Oct-17,6,39102-04472,,,0
4-Oct-17,8,39102-04472,,,20
4-Oct-17,10,39102-04472,,,0
4-Oct-17,12,39102-04472,,,23
4-Oct-17,14,39102-04472,,,0
4-Oct-17,16,39102-04472,,,16
4-Oct-17,18,39102-04472,,,4
4-Oct-17,20,39102-04472,,,3
4-Oct-17,22,39102-04472,,,2
5-Oct-17,0,39102-04472,,,0
5-Oct-17,2,39102-04472,,,0
5-Oct-17,4,39102-04472,,,3
5-Oct-17,6,39102-04472,,,0
5-Oct-17,8,39102-04472,,,10
5-Oct-17,10,39102-04472,,,0
5-Oct-17,12,39102-04472,,,23
5-Oct-17,14,39102-04472,,,0
5-Oct-17,16,39102-04472,,,6
5-Oct-17,18,39102-04472,,,4
5-Oct-17,20,39102-04472,,,3
5-Oct-17,22,39102-04472,,,2
3-Oct-17,0,39102-04457,234,0,0
3-Oct-17,2,39102-04457,,,0
3-Oct-17,4,39102-04457,,,3
3-Oct-17,6,39102-04457,,,0
3-Oct-17,8,39102-04457,,,10
3-Oct-17,10,39102-04457,,,0
3-Oct-17,12,39102-04457,,,23
3-Oct-17,14,39102-04457,,,0
3-Oct-17,16,39102-04457,,,6
3-Oct-17,18,39102-04457,,,4
3-Oct-17,20,39102-04457,,,3
3-Oct-17,22,39102-04457,,,2
4-Oct-17,0,39102-04457,,,10
4-Oct-17,2,39102-04457,,,3
4-Oct-17,4,39102-04457,,,3
4-Oct-17,6,39102-04457,,,0
4-Oct-17,8,39102-04457,,,20
4-Oct-17,10,39102-04457,,,0
4-Oct-17,12,39102-04457,,,23
4-Oct-17,14,39102-04457,,,0
4-Oct-17,16,39102-04457,,,16
4-Oct-17,18,39102-04457,,,4
4-Oct-17,20,39102-04457,,,3
4-Oct-17,22,39102-04457,,,2
5-Oct-17,0,39102-04457,,,0
5-Oct-17,2,39102-04457,,,0
5-Oct-17,4,39102-04457,,,3
5-Oct-17,6,39102-04457,,,0
5-Oct-17,8,39102-04457,,,10
5-Oct-17,10,39102-04457,,,0
5-Oct-17,12,39102-04457,,,23
5-Oct-17,14,39102-04457,,,0
5-Oct-17,16,39102-04457,,,6
5-Oct-17,18,39102-04457,,,4
5-Oct-17,20,39102-04457,,,3
5-Oct-17,22,39102-04457,,,2
