SCHED_DT,SCHED_HR,CUST_PART_NO,WIP_QTY,QTY,CLOSE_STK
7-Oct-17,0,39101-03201,29,8,78
7-Oct-17,2,39101-03201,,0,
7-Oct-17,4,39101-03201,,0,
7-Oct-17,6,39101-03201,,6,
7-Oct-17,8,39101-03201,,5,
7-Oct-17,10,39101-03201,,0,
7-Oct-17,12,39101-03201,,0,
7-Oct-17,14,39101-03201,,0,
7-Oct-17,16,39101-03201,,0,
7-Oct-17,18,39101-03201,,1,
7-Oct-17,20,39101-03201,,9,
7-Oct-17,22,39101-03201,,0,
8-Oct-17,0,39101-03201,,20,
8-Oct-17,2,39101-03201,,0,
8-Oct-17,4,39101-03201,,0,
8-Oct-17,6,39101-03201,,0,
8-Oct-17,8,39101-03201,,0,
8-Oct-17,10,39101-03201,,0,
8-Oct-17,12,39101-03201,,0,
8-Oct-17,14,39101-03201,,0,
8-Oct-17,16,39101-03201,,0,
8-Oct-17,18,39101-03201,,0,
8-Oct-17,20,39101-03201,,0,
8-Oct-17,22,39101-03201,,0,
9-Oct-17,0,39101-03201,,0,
9-Oct-17,2,39101-03201,,0,
9-Oct-17,4,39101-03201,,0,
9-Oct-17,6,39101-03201,,0,
9-Oct-17,8,39101-03201,,0,
9-Oct-17,10,39101-03201,,0,
9-Oct-17,12,39101-03201,,0,
9-Oct-17,14,39101-03201,,0,
9-Oct-17,16,39101-03201,,0,
9-Oct-17,18,39101-03201,,0,
9-Oct-17,20,39101-03201,,18,
9-Oct-17,22,39101-03201,,0,
7-Oct-17,0,39103-03237,23,4,154
7-Oct-17,2,39103-03237,,0,
7-Oct-17,4,39103-03237,,0,
7-Oct-17,6,39103-03237,,9,
7-Oct-17,8,39103-03237,,5,
7-Oct-17,10,39103-03237,,0,
7-Oct-17,12,39103-03237,,0,
7-Oct-17,14,39103-03237,,20,
7-Oct-17,16,39103-03237,,4,
7-Oct-17,18,39103-03237,,17,
7-Oct-17,20,39103-03237,,20,
7-Oct-17,22,39103-03237,,0,
8-Oct-17,0,39103-03237,,0,
8-Oct-17,2,39103-03237,,20,
8-Oct-17,4,39103-03237,,20,
8-Oct-17,6,39103-03237,,0,
8-Oct-17,8,39103-03237,,0,
8-Oct-17,10,39103-03237,,0,
8-Oct-17,12,39103-03237,,0,
8-Oct-17,14,39103-03237,,0,
8-Oct-17,16,39103-03237,,0,
8-Oct-17,18,39103-03237,,0,
8-Oct-17,20,39103-03237,,0,
8-Oct-17,22,39103-03237,,0,
9-Oct-17,0,39103-03237,,0,
9-Oct-17,2,39103-03237,,0,
9-Oct-17,4,39103-03237,,0,
9-Oct-17,6,39103-03237,,5,
9-Oct-17,8,39103-03237,,0,
9-Oct-17,10,39103-03237,,0,
9-Oct-17,12,39103-03237,,0,
9-Oct-17,14,39103-03237,,0,
9-Oct-17,16,39103-03237,,0,
9-Oct-17,18,39103-03237,,16,
9-Oct-17,20,39103-03237,,5,
9-Oct-17,22,39103-03237,,0,
7-Oct-17,0,39103-03201,112,73,614
7-Oct-17,2,39103-03201,,0,
7-Oct-17,4,39103-03201,,0,
7-Oct-17,6,39103-03201,,40,
7-Oct-17,8,39103-03201,,63,
7-Oct-17,10,39103-03201,,68,
7-Oct-17,12,39103-03201,,61,
7-Oct-17,14,39103-03201,,33,
7-Oct-17,16,39103-03201,,27,
7-Oct-17,18,39103-03201,,39,
7-Oct-17,20,39103-03201,,20,
7-Oct-17,22,39103-03201,,0,
8-Oct-17,0,39103-03201,,41,
8-Oct-17,2,39103-03201,,46,
8-Oct-17,4,39103-03201,,54,
8-Oct-17,6,39103-03201,,0,
8-Oct-17,8,39103-03201,,0,
8-Oct-17,10,39103-03201,,0,
8-Oct-17,12,39103-03201,,0,
8-Oct-17,14,39103-03201,,0,
8-Oct-17,16,39103-03201,,0,
8-Oct-17,18,39103-03201,,0,
8-Oct-17,20,39103-03201,,0,
8-Oct-17,22,39103-03201,,0,
9-Oct-17,0,39103-03201,,0,
9-Oct-17,2,39103-03201,,0,
9-Oct-17,4,39103-03201,,0,
9-Oct-17,6,39103-03201,,59,
9-Oct-17,8,39103-03201,,69,
9-Oct-17,10,39103-03201,,68,
9-Oct-17,12,39103-03201,,59,
9-Oct-17,14,39103-03201,,59,
9-Oct-17,16,39103-03201,,58,
9-Oct-17,18,39103-03201,,11,
9-Oct-17,20,39103-03201,,30,
9-Oct-17,22,39103-03201,,0,
