SCHED_DT,SCHED_HR,CUST_PART_NO,CLOSE_STK,WIP_QTY,QTY
23-Nov-2017,00,39103-03249,5,0,0
23-Nov-2017,00,39101-03201,54,23,0
23-Nov-2017,6,39101-03201,0,0,2
23-Nov-2017,18,39101-03201,0,0,5
23-Nov-2017,20,39101-03201,0,0,10
24-Nov-2017,0,39101-03201,0,0,10
24-Nov-2017,2,39101-03201,0,0,5
25-Nov-2017,6,39101-03201,0,0,10
25-Nov-2017,8,39101-03201,0,0,11
25-Nov-2017,10,39101-03201,0,0,8
26-Nov-2017,2,39101-03201,0,0,2
26-Nov-2017,4,39101-03201,0,0,14
26-Nov-2017,6,39101-03201,0,0,14
26-Nov-2017,8,39101-03201,0,0,5
26-Nov-2017,12,39101-03201,0,0,4
26-Nov-2017,14,39101-03201,0,0,4
26-Nov-2017,16,39101-03201,0,0,4
26-Nov-2017,18,39101-03201,0,0,5
26-Nov-2017,20,39101-03201,0,0,4
26-Nov-2017,0,39101-03201,0,0,4
26-Nov-2017,2,39101-03201,0,0,5
26-Nov-2017,4,39101-03201,0,0,2
26-Nov-2017,6,39101-03201,0,0,3
26-Nov-2017,8,39101-03201,0,0,5
26-Nov-2017,12,39101-03201,0,0,5
26-Nov-2017,16,39101-03201,0,0,5
26-Nov-2017,18,39101-03201,0,0,3
26-Nov-2017,20,39101-03201,0,0,11
25-Nov-2017,2,39102-04466,0,0,20
25-Nov-2017,4,39102-04466,0,0,10
26-Nov-2017,10,39102-04466,0,0,5
23-Nov-2017,00,39103-03201,612,114,94
23-Nov-2017,6,39103-03201,0,0,42
23-Nov-2017,8,39103-03201,0,0,70
23-Nov-2017,10,39103-03201,0,0,72
23-Nov-2017,12,39103-03201,0,0,65
23-Nov-2017,14,39103-03201,0,0,65
23-Nov-2017,16,39103-03201,0,0,47
23-Nov-2017,18,39103-03201,0,0,49
23-Nov-2017,20,39103-03201,0,0,47
24-Nov-2017,0,39103-03201,0,0,44
24-Nov-2017,2,39103-03201,0,0,29
24-Nov-2017,4,39103-03201,0,0,50
24-Nov-2017,6,39103-03201,0,0,30
24-Nov-2017,8,39103-03201,0,0,40
24-Nov-2017,10,39103-03201,0,0,20
24-Nov-2017,12,39103-03201,0,0,68
24-Nov-2017,14,39103-03201,0,0,50
24-Nov-2017,16,39103-03201,0,0,51
24-Nov-2017,18,39103-03201,0,0,56
24-Nov-2017,20,39103-03201,0,0,71
25-Nov-2017,0,39103-03201,0,0,31
25-Nov-2017,2,39103-03201,0,0,17
25-Nov-2017,4,39103-03201,0,0,15
25-Nov-2017,6,39103-03201,0,0,47
25-Nov-2017,8,39103-03201,0,0,66
25-Nov-2017,10,39103-03201,0,0,60
25-Nov-2017,12,39103-03201,0,0,70
25-Nov-2017,14,39103-03201,0,0,71
25-Nov-2017,16,39103-03201,0,0,71
25-Nov-2017,18,39103-03201,0,0,71
25-Nov-2017,20,39103-03201,0,0,70
26-Nov-2017,0,39103-03201,0,0,55
26-Nov-2017,8,39103-03201,0,0,57
26-Nov-2017,10,39103-03201,0,0,78
26-Nov-2017,12,39103-03201,0,0,28
26-Nov-2017,14,39103-03201,0,0,24
26-Nov-2017,16,39103-03201,0,0,25
26-Nov-2017,18,39103-03201,0,0,25
26-Nov-2017,20,39103-03201,0,0,23
26-Nov-2017,0,39103-03201,0,0,25
26-Nov-2017,2,39103-03201,0,0,35
26-Nov-2017,4,39103-03201,0,0,34
26-Nov-2017,6,39103-03201,0,0,35
