SCHED_DT,SCHED_HR,CUST_PART_NO,CLOSE_STK,WIP_QTY,QTY
18-Dec-2017,18,39102-04505,0,0,1
18-Dec-2017,20,39102-04505,0,0,2
14-Dec-2017,00,39103-03249,4,0,0
18-Dec-2017,6,39103-03249,0,0,7
14-Dec-2017,00,39101-03201,25,10,0
14-Dec-2017,18,39101-03201,0,0,4
14-Dec-2017,20,39101-03201,0,0,11
15-Dec-2017,18,39101-03201,0,0,5
15-Dec-2017,20,39101-03201,0,0,9
16-Dec-2017,0,39101-03201,0,0,1
16-Dec-2017,20,39101-03201,0,0,8
17-Dec-2017,2,39101-03201,0,0,7
18-Dec-2017,6,39101-03201,0,0,3
18-Dec-2017,16,39101-03201,0,0,15
14-Dec-2017,00,39102-04466,43,0,1
15-Dec-2017,6,39102-04466,0,0,9
15-Dec-2017,8,39102-04466,0,0,33
18-Dec-2017,20,39102-04466,0,0,2
14-Dec-2017,00,39102-04508,6,0,0
14-Dec-2017,00,39102-04509,100,0,0
14-Dec-2017,10,39102-04509,0,0,6
14-Dec-2017,12,39102-04509,0,0,4
14-Dec-2017,14,39102-04509,0,0,10
14-Dec-2017,16,39102-04509,0,0,10
14-Dec-2017,18,39102-04509,0,0,10
14-Dec-2017,20,39102-04509,0,0,10
15-Dec-2017,0,39102-04509,0,0,9
15-Dec-2017,2,39102-04509,0,0,11
15-Dec-2017,6,39102-04509,0,0,10
15-Dec-2017,8,39102-04509,0,0,10
15-Dec-2017,10,39102-04509,0,0,10
15-Dec-2017,12,39102-04509,0,0,10
15-Dec-2017,14,39102-04509,0,0,20
15-Dec-2017,16,39102-04509,0,0,10
15-Dec-2017,18,39102-04509,0,0,10
15-Dec-2017,20,39102-04509,0,0,10
16-Dec-2017,0,39102-04509,0,0,9
16-Dec-2017,2,39102-04509,0,0,20
16-Dec-2017,4,39102-04509,0,0,10
16-Dec-2017,6,39102-04509,0,0,20
16-Dec-2017,8,39102-04509,0,0,8
16-Dec-2017,10,39102-04509,0,0,7
17-Dec-2017,0,39102-04509,0,0,55
17-Dec-2017,2,39102-04509,0,0,25
18-Dec-2017,14,39102-04509,0,0,1
18-Dec-2017,18,39102-04509,0,0,2
18-Dec-2017,20,39102-04509,0,0,1
14-Dec-2017,00,39102-04510,9,3,4
14-Dec-2017,6,39102-04510,0,0,2
14-Dec-2017,00,39103-03201,821,93,49
14-Dec-2017,6,39103-03201,0,0,56
14-Dec-2017,8,39103-03201,0,0,58
14-Dec-2017,10,39103-03201,0,0,64
14-Dec-2017,12,39103-03201,0,0,22
14-Dec-2017,14,39103-03201,0,0,45
14-Dec-2017,16,39103-03201,0,0,32
14-Dec-2017,18,39103-03201,0,0,36
14-Dec-2017,20,39103-03201,0,0,23
15-Dec-2017,0,39103-03201,0,0,26
15-Dec-2017,2,39103-03201,0,0,50
15-Dec-2017,4,39103-03201,0,0,34
15-Dec-2017,6,39103-03201,0,0,60
15-Dec-2017,8,39103-03201,0,0,21
15-Dec-2017,10,39103-03201,0,0,39
15-Dec-2017,12,39103-03201,0,0,34
15-Dec-2017,14,39103-03201,0,0,37
15-Dec-2017,16,39103-03201,0,0,44
15-Dec-2017,18,39103-03201,0,0,35
15-Dec-2017,20,39103-03201,0,0,46
16-Dec-2017,0,39103-03201,0,0,37
16-Dec-2017,2,39103-03201,0,0,31
16-Dec-2017,4,39103-03201,0,0,42
16-Dec-2017,6,39103-03201,0,0,46
16-Dec-2017,8,39103-03201,0,0,39
16-Dec-2017,10,39103-03201,0,0,68
16-Dec-2017,12,39103-03201,0,0,64
16-Dec-2017,14,39103-03201,0,0,77
16-Dec-2017,16,39103-03201,0,0,37
17-Dec-2017,2,39103-03201,0,0,41
17-Dec-2017,4,39103-03201,0,0,61
18-Dec-2017,6,39103-03201,0,0,50
