SCHED_DT,SCHED_HR,CUST_PART_NO,CLOSE_STK,WIP_QTY,QTY
04-Jan-2018,00,39101-03201,46,11,0
04-Jan-2018,18,39101-03201,0,0,11
04-Jan-2018,20,39101-03201,0,0,4
06-Jan-2018,10,39101-03201,0,0,2
06-Jan-2018,12,39101-03201,0,0,13
08-Jan-2018,2,39101-03201,0,0,10
08-Jan-2018,4,39101-03201,0,0,5
08-Jan-2018,6,39101-03201,0,0,6
08-Jan-2018,12,39101-03201,0,0,19
04-Jan-2018,00,39102-04505,12,0,0
06-Jan-2018,8,39102-04505,0,0,11
08-Jan-2018,4,39102-04505,0,0,1
08-Jan-2018,20,39102-04512,0,0,6
04-Jan-2018,00,39103-03201,869,116,85
04-Jan-2018,6,39103-03201,0,0,70
04-Jan-2018,8,39103-03201,0,0,48
04-Jan-2018,10,39103-03201,0,0,51
04-Jan-2018,12,39103-03201,0,0,41
04-Jan-2018,14,39103-03201,0,0,67
04-Jan-2018,16,39103-03201,0,0,76
04-Jan-2018,18,39103-03201,0,0,41
04-Jan-2018,20,39103-03201,0,0,55
05-Jan-2018,0,39103-03201,0,0,67
05-Jan-2018,2,39103-03201,0,0,67
05-Jan-2018,4,39103-03201,0,0,58
05-Jan-2018,6,39103-03201,0,0,48
05-Jan-2018,8,39103-03201,0,0,83
05-Jan-2018,10,39103-03201,0,0,76
05-Jan-2018,12,39103-03201,0,0,51
05-Jan-2018,14,39103-03201,0,0,51
05-Jan-2018,16,39103-03201,0,0,59
05-Jan-2018,18,39103-03201,0,0,56
05-Jan-2018,20,39103-03201,0,0,51
06-Jan-2018,0,39103-03201,0,0,48
06-Jan-2018,2,39103-03201,0,0,56
06-Jan-2018,4,39103-03201,0,0,53
06-Jan-2018,6,39103-03201,0,0,64
06-Jan-2018,8,39103-03201,0,0,34
06-Jan-2018,10,39103-03201,0,0,63
06-Jan-2018,12,39103-03201,0,0,68
06-Jan-2018,14,39103-03201,0,0,72
06-Jan-2018,16,39103-03201,0,0,63
06-Jan-2018,18,39103-03201,0,0,61
06-Jan-2018,20,39103-03201,0,0,59
07-Jan-2018,0,39103-03201,0,0,72
07-Jan-2018,2,39103-03201,0,0,71
07-Jan-2018,4,39103-03201,0,0,65
08-Jan-2018,0,39103-03201,0,0,63
08-Jan-2018,2,39103-03201,0,0,36
08-Jan-2018,4,39103-03201,0,0,32
08-Jan-2018,6,39103-03201,0,0,47
08-Jan-2018,8,39103-03201,0,0,67
08-Jan-2018,10,39103-03201,0,0,72
08-Jan-2018,12,39103-03201,0,0,51
08-Jan-2018,14,39103-03201,0,0,54
08-Jan-2018,16,39103-03201,0,0,59
08-Jan-2018,18,39103-03201,0,0,57
08-Jan-2018,20,39103-03201,0,0,41
08-Jan-2018,6,39103-03203,0,0,2
04-Jan-2018,00,39103-03237,158,33,0
04-Jan-2018,6,39103-03237,0,0,2
04-Jan-2018,8,39103-03237,0,0,13
04-Jan-2018,10,39103-03237,0,0,16
04-Jan-2018,12,39103-03237,0,0,20
04-Jan-2018,14,39103-03237,0,0,17
04-Jan-2018,16,39103-03237,0,0,3
04-Jan-2018,18,39103-03237,0,0,24
04-Jan-2018,20,39103-03237,0,0,4
05-Jan-2018,0,39103-03237,0,0,11
05-Jan-2018,2,39103-03237,0,0,9
05-Jan-2018,4,39103-03237,0,0,15
05-Jan-2018,6,39103-03237,0,0,26
05-Jan-2018,10,39103-03237,0,0,5
05-Jan-2018,12,39103-03237,0,0,10
05-Jan-2018,14,39103-03237,0,0,10
05-Jan-2018,16,39103-03237,0,0,11
05-Jan-2018,18,39103-03237,0,0,9
05-Jan-2018,20,39103-03237,0,0,10
06-Jan-2018,0,39103-03237,0,0,15
06-Jan-2018,2,39103-03237,0,0,5
06-Jan-2018,4,39103-03237,0,0,10
06-Jan-2018,14,39103-03237,0,0,4
08-Jan-2018,6,39103-03237,0,0,5
08-Jan-2018,8,39103-03237,0,0,16
08-Jan-2018,10,39103-03237,0,0,3
08-Jan-2018,12,39103-03237,0,0,2
08-Jan-2018,14,39103-03237,0,0,9
08-Jan-2018,20,39103-03237,0,0,13
05-Jan-2018,12,39103-03243,0,0,11
05-Jan-2018,14,39103-03243,0,0,8
05-Jan-2018,16,39103-03243,0,0,7
05-Jan-2018,18,39103-03243,0,0,9
05-Jan-2018,20,39103-03243,0,0,11
06-Jan-2018,0,39103-03243,0,0,10
06-Jan-2018,2,39103-03243,0,0,8
06-Jan-2018,4,39103-03243,0,0,8
06-Jan-2018,6,39103-03243,0,0,7
06-Jan-2018,8,39103-03243,0,0,13
06-Jan-2018,10,39103-03243,0,0,5
07-Jan-2018,0,39103-03243,0,0,12
07-Jan-2018,2,39103-03243,0,0,14
07-Jan-2018,4,39103-03243,0,0,19
08-Jan-2018,0,39103-03243,0,0,19
08-Jan-2018,2,39103-03243,0,0,26
08-Jan-2018,4,39103-03243,0,0,53
08-Jan-2018,14,39103-03243,0,0,9
08-Jan-2018,16,39103-03243,0,0,19
08-Jan-2018,18,39103-03243,0,0,2
08-Jan-2018,20,39103-03243,0,0,5
04-Jan-2018,00,39103-03244,1,0,0
08-Jan-2018,16,39103-03244,0,0,8
08-Jan-2018,18,39103-03244,0,0,7
06-Jan-2018,8,39103-03247,0,0,3
06-Jan-2018,10,39103-03248,0,0,1
08-Jan-2018,14,39103-03248,0,0,5
08-Jan-2018,16,39103-03248,0,0,5
08-Jan-2018,18,39103-03248,0,0,6
08-Jan-2018,20,39103-03248,0,0,10
