Pallet Packaging No.,Pallet SAP HU,Box Packaging No.,Box SAP HU,Unique Part Ident. No.,TTNR,Variant,Packaging Index,Packaging Date
102170037228,,024170118415,00000000000917727789,0602487602,0261S19174,0000,570,28/09/2017 03:13:09
102170037228,,024170118415,00000000000917727789,0602487603,0261S19174,0000,570,28/09/2017 03:13:09
102170037228,,024170118415,00000000000917727789,0602487611,0261S19174,0000,570,28/09/2017 03:13:09
102170037228,,024170118415,00000000000917727789,0602487635,0261S19174,0000,570,28/09/2017 03:13:09
102170037228,,024170118415,00000000000917727789,0602487726,0261S19174,0000,570,28/09/2017 03:13:09
102170037228,,024170118415,00000000000917727789,0602487756,0261S19174,0000,570,28/09/2017 03:13:09
102170037228,,024170118415,00000000000917727789,0602487760,0261S19174,0000,570,28/09/2017 03:13:09
102170037228,,024170118415,00000000000917727789,0602487761,0261S19174,0000,570,28/09/2017 03:13:09
102170037228,,024170118616,,0503320666,0261S19174,0000,570,28/09/2017 03:08:33
102170037228,,024170118616,,0503320670,0261S19174,0000,570,28/09/2017 03:08:33
102170037228,,024170118616,,0503320678,0261S19174,0000,570,28/09/2017 03:08:33
102170037228,,024170118616,,0602476048,0261S19174,0000,570,28/09/2017 03:08:33
102170037228,,024170118616,,0602476065,0261S19174,0000,570,28/09/2017 03:08:33
102170037228,,024170118616,,0602476068,0261S19174,0000,570,28/09/2017 03:08:33
102170037228,,024170118616,,0602476073,0261S19174,0000,570,28/09/2017 03:08:33
102170037228,,024170118616,,0602476270,0261S19174,0000,570,28/09/2017 03:08:33
102170037228,,024170118618,,0503320679,0261S19174,0000,570,28/09/2017 03:10:34
102170037228,,024170118618,,0503320680,0261S19174,0000,570,28/09/2017 03:10:34
102170037228,,024170118618,,0503320681,0261S19174,0000,570,28/09/2017 03:10:34
102170037228,,024170118618,,0503320682,0261S19174,0000,570,28/09/2017 03:10:34
102170037228,,024170118618,,0602476131,0261S19174,0000,570,28/09/2017 03:10:34
102170037228,,024170118618,,0602476133,0261S19174,0000,570,28/09/2017 03:10:34
102170037228,,024170118618,,0602476134,0261S19174,0000,570,28/09/2017 03:10:34
102170037228,,024170118618,,0602476197,0261S19174,0000,570,28/09/2017 03:10:34
102170037228,,024170118621,,0602491453,0261S19174,0000,570,28/09/2017 03:13:33
102170037228,,024170118621,,0602491468,0261S19174,0000,570,28/09/2017 03:13:33
102170037228,,024170118621,,0602491469,0261S19174,0000,570,28/09/2017 03:13:33
102170037228,,024170118621,,0602491485,0261S19174,0000,570,28/09/2017 03:13:33
102170037228,,024170118621,,0602491554,0261S19174,0000,570,28/09/2017 03:13:33
102170037228,,024170118621,,0602491556,0261S19174,0000,570,28/09/2017 03:13:33
102170037228,,024170118621,,0602491557,0261S19174,0000,570,28/09/2017 03:13:33
102170037228,,024170118621,,0602492003,0261S19174,0000,570,28/09/2017 03:13:33
102170037228,,024170118622,,0602476049,0261S19174,0000,570,28/09/2017 03:12:34
102170037228,,024170118622,,0602476050,0261S19174,0000,570,28/09/2017 03:12:34
102170037228,,024170118622,,0602476052,0261S19174,0000,570,28/09/2017 03:12:34
102170037228,,024170118622,,0602476126,0261S19174,0000,570,28/09/2017 03:12:34
102170037228,,024170118622,,0602476127,0261S19174,0000,570,28/09/2017 03:12:34
102170037228,,024170118622,,0602476128,0261S19174,0000,570,28/09/2017 03:12:34
102170037228,,024170118622,,0602476299,0261S19174,0000,570,28/09/2017 03:12:34
102170037228,,024170118622,,0602476302,0261S19174,0000,570,28/09/2017 03:12:34
102170037228,,024170118625,,0602474804,0261S19174,0000,570,28/09/2017 03:08:47
102170037228,,024170118625,,0602476067,0261S19174,0000,570,28/09/2017 03:08:47
102170037228,,024170118625,,0602476129,0261S19174,0000,570,28/09/2017 03:08:47
102170037228,,024170118625,,0602476135,0261S19174,0000,570,28/09/2017 03:08:47
102170037228,,024170118625,,0602476271,0261S19174,0000,570,28/09/2017 03:08:47
102170037228,,024170118625,,0602476272,0261S19174,0000,570,28/09/2017 03:08:47
102170037228,,024170118625,,0602476301,0261S19174,0000,570,28/09/2017 03:08:47
102170037228,,024170118625,,0602485567,0261S19174,0000,570,28/09/2017 03:08:47
102170037228,,024170118632,,0602476071,0261S19174,0000,570,28/09/2017 03:12:06
102170037228,,024170118632,,0602476130,0261S19174,0000,570,28/09/2017 03:12:06
102170037228,,024170118632,,0602476240,0261S19174,0000,570,28/09/2017 03:12:06
102170037228,,024170118632,,0602476243,0261S19174,0000,570,28/09/2017 03:12:06
102170037228,,024170118632,,0602491585,0261S19174,0000,570,28/09/2017 03:12:06
102170037228,,024170118632,,0602491586,0261S19174,0000,570,28/09/2017 03:12:06
102170037228,,024170118632,,0602491587,0261S19174,0000,570,28/09/2017 03:12:06
102170037228,,024170118632,,0602491638,0261S19174,0000,570,28/09/2017 03:12:06
102170037228,,024170118634,,0602475901,0261S19174,0000,570,28/09/2017 03:10:17
102170037228,,024170118634,,0602476072,0261S19174,0000,570,28/09/2017 03:10:17
102170037228,,024170118634,,0602491455,0261S19174,0000,570,28/09/2017 03:10:17
102170037228,,024170118634,,0602491464,0261S19174,0000,570,28/09/2017 03:10:17
102170037228,,024170118634,,0602491465,0261S19174,0000,570,28/09/2017 03:10:17
102170037228,,024170118634,,0602491559,0261S19174,0000,570,28/09/2017 03:10:17
102170037228,,024170118634,,0602491589,0261S19174,0000,570,28/09/2017 03:10:17
102170037228,,024170118634,,0602492148,0261S19174,0000,570,28/09/2017 03:10:17
102170037228,,024170118636,,0602485696,0261S19174,0000,570,28/09/2017 03:08:13
102170037228,,024170118636,,0602488524,0261S19174,0000,570,28/09/2017 03:08:13
102170037228,,024170118636,,0602491454,0261S19174,0000,570,28/09/2017 03:08:13
102170037228,,024170118636,,0602491466,0261S19174,0000,570,28/09/2017 03:08:13
102170037228,,024170118636,,0602491486,0261S19174,0000,570,28/09/2017 03:08:13
102170037228,,024170118636,,0602491640,0261S19174,0000,570,28/09/2017 03:08:13
102170037228,,024170118636,,0602492127,0261S19174,0000,570,28/09/2017 03:08:13
102170037228,,024170118636,,0602492271,0261S19174,0000,570,28/09/2017 03:08:13
102170037228,,024170118639,,0602476216,0261S19174,0000,570,28/09/2017 03:13:17
102170037228,,024170118639,,0602491467,0261S19174,0000,570,28/09/2017 03:13:17
102170037228,,024170118639,,0602491558,0261S19174,0000,570,28/09/2017 03:13:17
102170037228,,024170118639,,0602493979,0261S19174,0000,570,28/09/2017 03:13:17
102170037228,,024170118639,,0602494009,0261S19174,0000,570,28/09/2017 03:13:17
102170037228,,024170118639,,0602494023,0261S19174,0000,570,28/09/2017 03:13:17
102170037228,,024170118639,,0602494033,0261S19174,0000,570,28/09/2017 03:13:17
102170037228,,024170118639,,0602494035,0261S19174,0000,570,28/09/2017 03:13:17
102170037228,,024170118642,,0602491457,0261S19174,0000,570,28/09/2017 03:12:24
102170037228,,024170118642,,0602491584,0261S19174,0000,570,28/09/2017 03:12:24
102170037228,,024170118642,,0602492279,0261S19174,0000,570,28/09/2017 03:12:24
102170037228,,024170118642,,0602494006,0261S19174,0000,570,28/09/2017 03:12:24
102170037228,,024170118642,,0602494007,0261S19174,0000,570,28/09/2017 03:12:24
102170037228,,024170118642,,0602494012,0261S19174,0000,570,28/09/2017 03:12:24
102170037228,,024170118642,,0602494027,0261S19174,0000,570,28/09/2017 03:12:24
102170037228,,024170118642,,0602494029,0261S19174,0000,570,28/09/2017 03:12:24
102170037228,,024170118644,,0602476226,0261S19174,0000,570,28/09/2017 03:11:01
102170037228,,024170118644,,0602491641,0261S19174,0000,570,28/09/2017 03:11:01
102170037228,,024170118644,,0602494008,0261S19174,0000,570,28/09/2017 03:11:01
102170037228,,024170118644,,0602494010,0261S19174,0000,570,28/09/2017 03:11:01
102170037228,,024170118644,,0602494011,0261S19174,0000,570,28/09/2017 03:11:01
102170037228,,024170118644,,0602494013,0261S19174,0000,570,28/09/2017 03:11:01
102170037228,,024170118644,,0602494014,0261S19174,0000,570,28/09/2017 03:11:01
102170037228,,024170118644,,0602494022,0261S19174,0000,570,28/09/2017 03:11:01
102170037228,,024170118647,00000000000917733275,0602493977,0261S19174,0000,570,28/09/2017 03:12:45
102170037228,,024170118647,00000000000917733275,0602493983,0261S19174,0000,570,28/09/2017 03:12:45
102170037228,,024170118647,00000000000917733275,0602493986,0261S19174,0000,570,28/09/2017 03:12:45
102170037228,,024170118647,00000000000917733275,0602493987,0261S19174,0000,570,28/09/2017 03:12:45
102170037228,,024170118647,00000000000917733275,0602493988,0261S19174,0000,570,28/09/2017 03:12:45
102170037228,,024170118647,00000000000917733275,0602493990,0261S19174,0000,570,28/09/2017 03:12:45
102170037228,,024170118647,00000000000917733275,0602494002,0261S19174,0000,570,28/09/2017 03:12:45
102170037228,,024170118647,00000000000917733275,0602494003,0261S19174,0000,570,28/09/2017 03:12:45
102170037228,,024170118649,00000000000917733278,0602485458,0261S19174,0000,570,28/09/2017 03:13:40
102170037228,,024170118649,00000000000917733278,0602485562,0261S19174,0000,570,28/09/2017 03:13:40
102170037228,,024170118649,00000000000917733278,0602485571,0261S19174,0000,570,28/09/2017 03:13:40
102170037228,,024170118649,00000000000917733278,0602491325,0261S19174,0000,570,28/09/2017 03:13:40
102170037228,,024170118649,00000000000917733278,0602491959,0261S19174,0000,570,28/09/2017 03:13:40
102170037228,,024170118649,00000000000917733278,0602493976,0261S19174,0000,570,28/09/2017 03:13:40
102170037228,,024170118649,00000000000917733278,0602493992,0261S19174,0000,570,28/09/2017 03:13:40
102170037228,,024170118649,00000000000917733278,0602493993,0261S19174,0000,570,28/09/2017 03:13:40
102170037228,,024170118651,00000000000917733286,0602475908,0261S19174,0000,570,28/09/2017 03:09:44
102170037228,,024170118651,00000000000917733286,0602476174,0261S19174,0000,570,28/09/2017 03:09:44
102170037228,,024170118651,00000000000917733286,0602476209,0261S19174,0000,570,28/09/2017 03:09:44
102170037228,,024170118651,00000000000917733286,0602476222,0261S19174,0000,570,28/09/2017 03:09:44
102170037228,,024170118651,00000000000917733286,0602476266,0261S19174,0000,570,28/09/2017 03:09:44
102170037228,,024170118651,00000000000917733286,0602476449,0261S19174,0000,570,28/09/2017 03:09:44
102170037228,,024170118651,00000000000917733286,0602485295,0261S19174,0000,570,28/09/2017 03:09:44
102170037228,,024170118651,00000000000917733286,0602485572,0261S19174,0000,570,28/09/2017 03:09:44
102170037228,,024170118654,00000000000917733287,0602485488,0261S19174,0000,570,28/09/2017 03:11:12
102170037228,,024170118654,00000000000917733287,0602485604,0261S19174,0000,570,28/09/2017 03:11:12
102170037228,,024170118654,00000000000917733287,0602485606,0261S19174,0000,570,28/09/2017 03:11:12
102170037228,,024170118654,00000000000917733287,0602485607,0261S19174,0000,570,28/09/2017 03:11:12
102170037228,,024170118654,00000000000917733287,0602485610,0261S19174,0000,570,28/09/2017 03:11:12
102170037228,,024170118654,00000000000917733287,0602485611,0261S19174,0000,570,28/09/2017 03:11:12
102170037228,,024170118654,00000000000917733287,0602485617,0261S19174,0000,570,28/09/2017 03:11:12
102170037228,,024170118654,00000000000917733287,0602485631,0261S19174,0000,570,28/09/2017 03:11:12
102170037228,,024170118656,00000000000917733289,0602485317,0261S19174,0000,570,28/09/2017 03:08:03
102170037228,,024170118656,00000000000917733289,0602485327,0261S19174,0000,570,28/09/2017 03:08:03
